,author,loyalty_score,FUD_ratio,num_of_messages_normalized,meaningful_msg_ratio
2732,abdulsolanki345,0.0,0.0,2.27,0.09
2733,Zuts,0.0,0.0,2.27,0.09
2734,ZeroZeroSeven,0.0,0.0,2.27,0.09
2735,motaleb95,0.0,0.0,2.27,0.09
2736,the_real_steven_miller,0.0,0.0,2.27,0.09
2737,Asadul,0.0,0.0,2.27,0.09
2738,Zillurofficial4,0.0,0.0,2.27,0.09
2739,Zoella,0.0,0.0,2.27,0.09
2740,monu68,0.0,0.0,2.27,0.09
2741,thegunerss221,0.0,0.0,2.27,0.09
2742,Zyanzee,0.0,0.0,2.27,0.09
2743,monu,0.0,0.0,2.27,0.09
2744,Zylenox,0.0,0.0,2.27,0.09
2745,moniakhi,0.0,0.0,2.27,0.09
2746,peachi,0.0,0.0,2.27,0.09
2747,Ashik,0.0,0.0,2.27,0.09
2748,paritkotor,0.0,0.0,2.27,0.09
2749,motiurrahman,0.0,0.0,2.27,0.09
2750,mukhalim123,0.0,0.0,2.27,0.09
2751,DEadFox,0.0,0.0,2.27,0.09
2752,Youssef;,0.0,0.0,2.27,0.09
2753,mugiwara,0.0,0.0,2.27,0.09
2754,Yuli no limit,0.0,0.0,2.27,0.09
2755,YungKitty,0.0,0.0,2.27,0.09
2756,DICA,0.0,0.0,2.27,0.09
2757,Yuuta,0.0,0.0,2.27,0.09
2758,Ace**,0.0,0.0,2.27,0.09
2759,mrphenk,0.0,0.0,2.27,0.09
2760,themisk,0.0,0.0,2.27,0.09
2761,Zaal,0.0,0.0,2.27,0.09
2762,Zaki12,0.0,0.0,2.27,0.09
2763,AntoG10,0.0,0.0,2.27,0.09
2764,mrsmart,0.0,0.0,2.27,0.09
2765,mrsfitri,0.0,0.0,2.27,0.09
2766,[Fierce] GameBG,0.0,0.0,2.27,0.09
2767,Cryptoloverbd24,0.0,0.0,2.27,0.09
2768,thaoh34,0.0,0.0,2.27,0.09
2769,affrdn,0.0,0.0,2.27,0.09
2770,aditja,0.0,0.0,2.27,0.09
2771,aditya43,0.0,0.0,2.27,0.09
2772,mimeocat99,0.0,0.0,2.27,0.09
2773,per3xy,0.0,0.0,2.27,0.09
2774,mihazhohal,0.0,0.0,2.27,0.09
2775,Acebluever,0.0,0.0,2.27,0.09
2776,perfmare,0.0,0.0,2.27,0.09
2777,_Petr1c3k_,0.0,0.0,2.27,0.09
2778,AcepCrypto29,0.0,0.0,2.27,0.09
2779,Avi456,0.0,0.0,2.27,0.09
2780,phoen1X,0.0,0.0,2.27,0.09
2781,messamessi2002,0.0,0.0,2.27,0.09
2782,merpati,0.0,0.0,2.27,0.09
2783,telomeraz,0.0,0.0,2.27,0.09
2784,adesukro,0.0,0.0,2.27,0.09
2785,minhvu928,0.0,0.0,2.27,0.09
2786,adaptive,0.0,0.0,2.27,0.09
2787,Atif9,0.0,0.0,2.27,0.09
2788,minkoo,0.0,0.0,2.27,0.09
2789,mithunofficial696,0.0,0.0,2.27,0.09
2790,pehby,0.0,0.0,2.27,0.09
2791,Anomi,0.0,0.0,2.27,0.09
2792,abulcher,0.0,0.0,2.27,0.09
2793,CryptoPumPum,0.0,0.0,2.27,0.09
2794,CryptoRishi,0.0,0.0,2.27,0.09
2795,luday33a,0.0,0.0,2.27,0.09
2796,mjamal,0.0,0.0,2.27,0.09
2797,thang871,0.0,0.0,2.27,0.09
2798,pebble,0.0,0.0,2.27,0.09
2799,Cryptofaiz,0.0,0.0,2.27,0.09
2800,__dsamarth__,0.0,0.0,2.27,0.09
2801,muhammadferoj1,0.0,0.0,2.27,0.09
2802,DRK,0.0,0.0,2.27,0.09
2803,ahmed23,0.0,0.0,2.27,0.09
2804,nirob21k,0.0,0.0,2.27,0.09
2805,twinuzii,0.0,0.0,2.27,0.09
2806,tuanhung77,0.0,0.0,2.27,0.09
2807,Anwar28,0.0,0.0,2.27,0.09
2808,noddynitin,0.0,0.0,2.27,0.09
2809,omurfaruk,0.0,0.0,2.27,0.09
2810,trungthuc84,0.0,0.0,2.27,0.09
2811,Wanzaty,0.0,0.0,2.27,0.09
2812,notfingema,0.0,0.0,2.27,0.09
2813,nikush,0.0,0.0,2.27,0.09
2814,trongduc929,0.0,0.0,2.27,0.09
2815,tranhieu28,0.0,0.0,2.27,0.09
2816,onlchmmo,0.0,0.0,2.27,0.09
2817,Abhijit,0.0,0.0,2.27,0.09
2818,ope ope f├ú,0.0,0.0,2.27,0.09
2819,Vyrn,0.0,0.0,2.27,0.09
2820,novirahani,0.0,0.0,2.27,0.09
2821,thetom,0.0,0.0,2.27,0.09
2822,ojan,0.0,0.0,2.27,0.09
2823,Vasukumar,0.0,0.0,2.27,0.09
2824,Veinmjr,0.0,0.0,2.27,0.09
2825,Denurana,0.0,0.0,2.27,0.09
2826,Denji,0.0,0.0,2.27,0.09
2827,DeliaNurya,0.0,0.0,2.27,0.09
2828,ocean,0.0,0.0,2.27,0.09
2829,Vi.,0.0,0.0,2.27,0.09
2830,nphyo,0.0,0.0,2.27,0.09
2831,VinoΓ£░,0.0,0.0,2.27,0.09
2832,ojha,0.0,0.0,2.27,0.09
2833,Deepak,0.0,0.0,2.27,0.09
2834,Vishna,0.0,0.0,2.27,0.09
2835,DeckyAlfian,0.0,0.0,2.27,0.09
2836,okbro,0.0,0.0,2.27,0.09
2837,niel,0.0,0.0,2.27,0.09
2838,AbhishekGupta,0.0,0.0,2.27,0.09
2839,Ariful,0.0,0.0,2.27,0.09
2840,Yassine Ayari,0.0,0.0,2.27,0.09
2841,Yara,0.0,0.0,2.27,0.09
2842,Yaseenday58,0.0,0.0,2.27,0.09
2843,najibj,0.0,0.0,2.27,0.09
2844,tmp007,0.0,0.0,2.27,0.09
2845,Antor,0.0,0.0,2.27,0.09
2846,Yasin arafat,0.0,0.0,2.27,0.09
2847,YeboiCJΓäó,0.0,0.0,2.27,0.09
2848,nickchoi,0.0,0.0,2.27,0.09
2849,Arthrowing,0.0,0.0,2.27,0.09
2850,tinkerwily,0.0,0.0,2.27,0.09
2851,mushu,0.0,0.0,2.27,0.09
2852,Abrar,0.0,0.0,2.27,0.09
2853,munia,0.0,0.0,2.27,0.09
2854,thinhgtr,0.0,0.0,2.27,0.09
2855,Damn,0.0,0.0,2.27,0.09
2856,Damon,0.0,0.0,2.27,0.09
2857,toleeeeemania,0.0,0.0,2.27,0.09
2858,nami,0.0,0.0,2.27,0.09
2859,nandaraka,0.0,0.0,2.27,0.09
2860,XItk_Mcfadden,0.0,0.0,2.27,0.09
2861,nao sei de nada,0.0,0.0,2.27,0.09
2862,Wyne,0.0,0.0,2.27,0.09
2863,DanielCA08,0.0,0.0,2.27,0.09
2864,neo_nGin,0.0,0.0,2.27,0.09
2865,WoeSky,0.0,0.0,2.27,0.09
2866,Wizkhalifa12,0.0,0.0,2.27,0.09
2867,nero,0.0,0.0,2.27,0.09
2868,new,0.0,0.0,2.27,0.09
2869,ngoctung881,0.0,0.0,2.27,0.09
2870,nhungnguyen829,0.0,0.0,2.27,0.09
2871,nick1sammy,0.0,0.0,2.27,0.09
2872,mental,0.0,0.0,2.27,0.09
2873,gnar,0.0,0.0,2.27,0.09
2874,armen,0.0,0.0,2.27,0.09
2875,amamanjek,0.0,0.0,2.27,0.09
2876,amity,0.0,0.0,2.27,0.09
2877,aspen,0.0,0.0,2.27,0.09
2878,amind,0.0,0.0,2.27,0.09
2879,mariku,0.0,0.0,2.27,0.09
2880,md hossen,0.0,0.0,2.27,0.09
2881,mdala,0.0,0.0,2.27,0.09
2882,prajjvalnagdeve,0.0,0.0,2.27,0.09
2883,amelku091,0.0,0.0,2.27,0.09
2884,Comrade,0.0,0.0,2.27,0.09
2885,amaraartika,0.0,0.0,2.27,0.09
2886,altervoid,0.0,0.0,2.27,0.09
2887,Cristian Malfesi | Protofire,0.0,0.0,2.27,0.09
2888,altar_al,0.0,0.0,2.27,0.09
2889,prakasa,0.0,0.0,2.27,0.09
2890,alpenapriandi,0.0,0.0,2.27,0.09
2891,mdeajajahamed,0.0,0.0,2.27,0.09
2892,polash,0.0,0.0,2.27,0.09
2893,mdmafoj,0.0,0.0,2.27,0.09
2894,polimorfzm,0.0,0.0,2.27,0.09
2895,alkata,0.0,0.0,2.27,0.09
2896,AdalahSayaa | $NPC,0.0,0.0,2.27,0.09
2897,prakash95,0.0,0.0,2.27,0.09
2898,asecrypto,0.0,0.0,2.27,0.09
2899,Aya,0.0,0.0,2.27,0.09
2900,lwxvl,0.0,0.0,2.27,0.09
2901,Crimrose,0.0,0.0,2.27,0.09
2902,mattnowack,0.0,0.0,2.27,0.09
2903,angshu,0.0,0.0,2.27,0.09
2904,maemun,0.0,0.0,2.27,0.09
2905,tams,0.0,0.0,2.27,0.09
2906,maddog,0.0,0.0,2.27,0.09
2907,anhkhoa161,0.0,0.0,2.27,0.09
2908,pragitarnp,0.0,0.0,2.27,0.09
2909,marvelri,0.0,0.0,2.27,0.09
2910,maumuon8872e,0.0,0.0,2.27,0.09
2911,talha1221,0.0,0.0,2.27,0.09
2912,piomrox,0.0,0.0,2.27,0.09
2913,suvam,0.0,0.0,2.27,0.09
2914,marsha030,0.0,0.0,2.27,0.09
2915,andi88,0.0,0.0,2.27,0.09
2916,andeputra,0.0,0.0,2.27,0.09
2917,marinchan,0.0,0.0,2.27,0.09
2918,and,0.0,0.0,2.27,0.09
2919,Cosmixangle,0.0,0.0,2.27,0.09
2920,anarchy,0.0,0.0,2.27,0.09
2921,anakmunyuk,0.0,0.0,2.27,0.09
2922,taha rezgui,0.0,0.0,2.27,0.09
2923,anseljohn12,0.0,0.0,2.27,0.09
2924,CrownedSun,0.0,0.0,2.27,0.09
2925,alikgautam28,0.0,0.0,2.27,0.09
2926,Azisgabel,0.0,0.0,2.27,0.09
2927,tauhidcryptothd,0.0,0.0,2.27,0.09
2928,majam,0.0,0.0,2.27,0.09
2929,atsumii,0.0,0.0,2.27,0.09
2930,artugol,0.0,0.0,2.27,0.09
2931,mamun,0.0,0.0,2.27,0.09
2932,megatruenoYT,0.0,0.0,2.27,0.09
2933,aksa0112,0.0,0.0,2.27,0.09
2934,tayo,0.0,0.0,2.27,0.09
2935,megazoon,0.0,0.0,2.27,0.09
2936,tazii<3,0.0,0.0,2.27,0.09
2937,praa,0.0,0.0,2.27,0.09
2938,arafat17a,0.0,0.0,2.27,0.09
2939,Cookie.,0.0,0.0,2.27,0.09
2940,attad,0.0,0.0,2.27,0.09
2941,aries87,0.0,0.0,2.27,0.09
2942,airdropinside,0.0,0.0,2.27,0.09
2943,arizu,0.0,0.0,2.27,0.09
2944,arkansendy,0.0,0.0,2.27,0.09
2945,ted.,0.0,0.0,2.27,0.09
2946,mehedi,0.0,0.0,2.27,0.09
2947,maksu0,0.0,0.0,2.27,0.09
2948,atul,0.0,0.0,2.27,0.09
2949,aldebantet,0.0,0.0,2.27,0.09
2950,Adets,0.0,0.0,2.27,0.09
2951,alesiababrova,0.0,0.0,2.27,0.09
2952,aoxzora1,0.0,0.0,2.27,0.09
2953,mantap,0.0,0.0,2.27,0.09
2954,antonNG,0.0,0.0,2.27,0.09
2955,alfendion,0.0,0.0,2.27,0.09
2956,porsha,0.0,0.0,2.27,0.09
2957,Awoooooo,0.0,0.0,2.27,0.09
2958,tasin2009,0.0,0.0,2.27,0.09
2959,anup,0.0,0.0,2.27,0.09
2960,ataur97,0.0,0.0,2.27,0.09
2961,mashuk,0.0,0.0,2.27,0.09
2962,lutfimmmm,0.0,0.0,2.27,0.09
2963,mahmudul_v2,0.0,0.0,2.27,0.09
2964,luna33,0.0,0.0,2.27,0.09
2965,Azazel,0.0,0.0,2.27,0.09
2966,Twety .,0.0,0.0,2.27,0.09
2967,3isha .,0.0,0.0,2.27,0.09
2968,Napstablook,0.0,0.0,2.27,0.09
2969,SilTrix,0.0,0.0,2.27,0.09
2970,Pinya,0.0,0.0,2.27,0.09
2971,CBDO Arab Network,0.0,0.0,2.27,0.09
2972,Sal,0.0,0.0,2.27,0.09
2973,sarah ara,0.0,0.0,2.27,0.09
2974,inorixshu,0.0,0.0,2.27,0.09
2975,Lizzie,0.0,0.0,2.27,0.09
2976,Wifi Thief,0.0,0.0,2.27,0.09
2977,elvishyadav,0.0,0.0,2.27,0.09
2978,echrose,0.0,0.0,2.27,0.09
2979,sultan.id,0.0,0.0,2.27,0.09
2980,Davin,0.0,0.0,2.27,0.09
2981,iLyyys,0.0,0.0,2.27,0.09
2982,Lemon≡ƒìï,0.0,0.0,2.27,0.09
2983,AnimeFreakRX,0.0,0.0,2.27,0.09
2984,LieveTurk,0.0,0.0,2.27,0.09
2985,Igurx πÇ⌐,0.0,0.0,2.27,0.09
2986,Tired.of.this,0.0,0.0,2.27,0.09
2987,Hidden,0.0,0.0,2.27,0.09
2988,BIG CAT,0.0,0.0,2.27,0.09
2989,not your dad ez,0.0,0.0,2.27,0.09
2990,Alconaut,0.0,0.0,2.27,0.09
2991,darkie,0.0,0.0,2.27,0.09
2992,thalia,0.0,0.0,2.27,0.09
2993,yoon,0.0,0.0,2.27,0.09
2994,abranti,0.0,0.0,2.27,0.09
2995,V3nuz_P3niz<3,0.0,0.0,2.27,0.09
2996,miyukii,0.0,0.0,2.27,0.09
2997,Sezsonal,0.0,0.0,2.27,0.09
2998,oconnor,0.0,0.0,2.27,0.09
2999,shrekiwtch,0.0,0.0,2.27,0.09
3000,albacoda,0.0,0.0,2.27,0.09
3001,tempie,0.0,0.0,2.27,0.09
3002,≡¥É╛≡¥£ä≡¥£Å≡¥£Å≡¥£Ç≡¥£ï█╡,0.0,0.0,2.27,0.09
3003,Jsyre,0.0,0.0,2.27,0.09
3004,gergodrone,0.0,0.0,2.27,0.09
3005,Rezzzzz,0.0,0.0,2.27,0.09
3006,SubZepl1,0.0,0.0,2.27,0.09
3007,OA_Octomaw,0.0,0.0,2.27,0.09
3008,!≡¥Öæ≡¥Ö₧≡¥Ö¿≡¥Ö₧≡¥Öñ≡¥Öú≡¥Ö»,0.0,0.0,2.27,0.09
3009,simon_w20,0.0,0.0,2.27,0.09
3010,kara,0.0,0.0,2.27,0.09
3011,J├â1ZIN,0.0,0.0,2.27,0.09
3012,kailey,0.0,0.0,2.27,0.09
3013,Ether !!,0.0,0.0,2.27,0.09
3014,moggers,0.0,0.0,2.27,0.09
3015,joc,0.0,0.0,2.27,0.09
3016,jayyy,0.0,0.0,2.27,0.09
3017,Quartz,0.0,0.0,2.27,0.09
3018,guyver Γ¥ª,0.0,0.0,2.27,0.09
3019,br┬ían,0.0,0.0,2.27,0.09
3020,Shinchoku,0.0,0.0,2.27,0.09
3021,Dono,0.0,0.0,2.27,0.09
3022,TheFreckMan,0.0,0.0,2.27,0.09
3023,ZeroTwo,0.0,0.0,2.27,0.09
3024,R4WR,0.0,0.0,2.27,0.09
3025,dkgecko(AxelKnaught),0.0,0.0,2.27,0.09
3026,kriiisiii,0.0,0.0,2.27,0.09
3027,RAVENSVOID,0.0,0.0,2.27,0.09
3028,KarmaSensei,0.0,0.0,2.27,0.09
3029,Beemo,0.0,0.0,2.27,0.09
3030,sa1,0.0,0.0,2.27,0.09
3031,≡¥ò╜≡¥ûÄ≡¥ûå≡¥ûô≡¥ûô,0.0,0.0,2.27,0.09
3032,domilovesmars,0.0,0.0,2.27,0.09
3033,DONGSEON,0.0,0.0,2.27,0.09
3034,gabrielemiduh,0.0,0.0,2.27,0.09
3035,≡¥òé≡¥òÜ≡¥òƒ≡¥òÿ,0.0,0.0,2.27,0.09
3036,Aniket raj,0.0,0.0,2.27,0.09
3037,rubelcare,0.0,0.0,2.27,0.09
3038,lordvogoban,0.0,0.0,2.27,0.09
3039,Imran2968,0.0,0.0,2.27,0.09
3040,Nathanbrandle,0.0,0.0,2.27,0.09
3041,hariom5422,0.0,0.0,2.27,0.09
3042,hasonraja,0.0,0.0,2.27,0.09
3043,loftytama,0.0,0.0,2.27,0.09
3044,govi11singh,0.0,0.0,2.27,0.09
3045,mahabub786,0.0,0.0,2.27,0.09
3046,ItzHussain18,0.0,0.0,2.27,0.09
3047,grey_di,0.0,0.0,2.27,0.09
3048,Ismartboi007,0.0,0.0,2.27,0.09
3049,Azuree,0.0,0.0,2.27,0.09
3050,Imrankh59271374,0.0,0.0,2.27,0.09
3051,Istiaq22,0.0,0.0,2.27,0.09
3052,nikakuy,0.0,0.0,2.27,0.09
3053,kaluaa,0.0,0.0,2.27,0.09
3054,rk75hasan3,0.0,0.0,2.27,0.09
3055,jhonty,0.0,0.0,2.27,0.09
3056,Merlin,0.0,0.0,2.27,0.09
3057,HALALHARAMHANTAM,0.0,0.0,2.27,0.09
3058,AshikurRahman,0.0,0.0,2.27,0.09
3059,jmrashid,0.0,0.0,2.27,0.09
3060,Ashique,0.0,0.0,2.27,0.09
3061,Jitesh2109,0.0,0.0,2.27,0.09
3062,mdnirob2043,0.0,0.0,2.27,0.09
3063,mdraziburrahman21,0.0,0.0,2.27,0.09
3064,ranggadeg,0.0,0.0,2.27,0.09
3065,Mdtanzim,0.0,0.0,2.27,0.09
3066,MIAVAI,0.0,0.0,2.27,0.09
3067,HtetKaungLatt,0.0,0.0,2.27,0.09
3068,KOUSHIK234,0.0,0.0,2.27,0.09
3069,pialashraf000,0.0,0.0,2.27,0.09
3070,meetmad,0.0,0.0,2.27,0.09
3071,joyy,0.0,0.0,2.27,0.09
3072,raider1905,0.0,0.0,2.27,0.09
3073,Jubyer2,0.0,0.0,2.27,0.09
3074,raj89,0.0,0.0,2.27,0.09
3075,Junaeid1274,0.0,0.0,2.27,0.09
3076,Mamunptsc,0.0,0.0,2.27,0.09
3077,kaio19973,0.0,0.0,2.27,0.09
3078,memed,0.0,0.0,2.27,0.09
3079,mdbabulx4,0.0,0.0,2.27,0.09
3080,mayur2462,0.0,0.0,2.27,0.09
3081,ppmm939,0.0,0.0,2.27,0.09
3082,patrasx,0.0,0.0,2.27,0.09
3083,Naim,0.0,0.0,2.27,0.09
3084,Gerrard,0.0,0.0,2.27,0.09
3085,Badboy Sadik,0.0,0.0,2.27,0.09
3086,Muzzo777,0.0,0.0,2.27,0.09
3087,Jadugar,0.0,0.0,2.27,0.09
3088,mamun1100,0.0,0.0,2.27,0.09
3089,Hamidul6,0.0,0.0,2.27,0.09
3090,navjoTsingh,0.0,0.0,2.27,0.09
3091,potato46,0.0,0.0,2.27,0.09
3092,iSe,0.0,0.0,2.27,0.09
3093,Anggahr,0.0,0.0,2.27,0.09
3094,Mr./XHD,0.0,0.0,2.27,0.09
3095,muzahid,0.0,0.0,2.27,0.09
3096,Ayula96,0.0,0.0,2.27,0.09
3097,restu739,0.0,0.0,2.27,0.09
3098,Morax,0.0,0.0,2.27,0.09
3099,KALOMIA,0.0,0.0,2.27,0.09
3100,reprnm,0.0,0.0,2.27,0.09
3101,mryadav0845,0.0,0.0,2.27,0.09
3102,realhazera,0.0,0.0,2.27,0.09
3103,Minhaj,0.0,0.0,2.27,0.09
3104,real195,0.0,0.0,2.27,0.09
3105,raza270,0.0,0.0,2.27,0.09
3106,Kbudilaksono,0.0,0.0,2.27,0.09
3107,ParthaS20121992,0.0,0.0,2.27,0.09
3108,Adelard,0.0,0.0,2.27,0.09
3109,Rupak,0.0,0.0,2.27,0.09
3110,veryadityaa,0.0,0.0,2.27,0.09
3111,adrianp,0.0,0.0,2.27,0.09
3112,cakrawiguna,0.0,0.0,2.27,0.09
3113,CN丨DÖRAEMÔN,0.0,0.0,2.27,0.09
3114,Fianmas,0.0,0.0,2.27,0.09
3115,Premik9,0.0,0.0,2.27,0.09
3116,aemialex,0.0,0.0,2.27,0.09
3117,Trexi,0.0,0.0,2.27,0.09
3118,Trish0,0.0,0.0,2.27,0.09
3119,Suryakumar91,0.0,0.0,2.27,0.09
3120,earnwithrm,0.0,0.0,2.27,0.09
3121,echii,0.0,0.0,2.27,0.09
3122,afroz77888,0.0,0.0,2.27,0.09
3123,Firlan Prayoga,0.0,0.0,2.27,0.09
3124,SOHEL1,0.0,0.0,2.27,0.09
3125,Abian,0.0,0.0,2.27,0.09
3126,Ahnafbd37,0.0,0.0,2.27,0.09
3127,Yusuf Sufi,0.0,0.0,2.27,0.09
3128,bomba,0.0,0.0,2.27,0.09
3129,Sadikkhan72,0.0,0.0,2.27,0.09
3130,Tukang.sol,0.0,0.0,2.27,0.09
3131,bob25,0.0,0.0,2.27,0.09
3132,Suraj500,0.0,0.0,2.27,0.09
3133,Flashxbliz,0.0,0.0,2.27,0.09
3134,Supriatna,0.0,0.0,2.27,0.09
3135,Crypto1,0.0,0.0,2.27,0.09
3136,Superman,0.0,0.0,2.27,0.09
3137,adnansiam786,0.0,0.0,2.27,0.09
3138,adnan90,0.0,0.0,2.27,0.09
3139,sammek,0.0,0.0,2.27,0.09
3140,SymFamous,0.0,0.0,2.27,0.09
3141,shouvo,0.0,0.0,2.27,0.09
3142,shivysir,0.0,0.0,2.27,0.09
3143,Rana00,0.0,0.0,2.27,0.09
3144,Retro,0.0,0.0,2.27,0.09
3145,Akashyt,0.0,0.0,2.27,0.09
3146,Raju221,0.0,0.0,2.27,0.09
3147,FR∆GLUCi,0.0,0.0,2.27,0.09
3148,Zethobirpasker,0.0,0.0,2.27,0.09
3149,shailesh234,0.0,0.0,2.27,0.09
3150,delisairw,0.0,0.0,2.27,0.09
3151,cruze,0.0,0.0,2.27,0.09
3152,anto.nugroho,0.0,0.0,2.27,0.09
3153,Fahmid,0.0,0.0,2.27,0.09
3154,Rifatbl1,0.0,0.0,2.27,0.09
3155,TaskinRiaz1,0.0,0.0,2.27,0.09
3156,Dablu kumar,0.0,0.0,2.27,0.09
3157,Abrahamm,0.0,0.0,2.27,0.09
3158,cphyo,0.0,0.0,2.27,0.09
3159,yudif101,0.0,0.0,2.27,0.09
3160,Cryptobanglasagor,0.0,0.0,2.27,0.09
3161,seniorcrush,0.0,0.0,2.27,0.09
3162,TATonmoy,0.0,0.0,2.27,0.09
3163,divery,0.0,0.0,2.27,0.09
3164,Yash933,0.0,0.0,2.27,0.09
3165,wahidrk,0.0,0.0,2.27,0.09
3166,terror,0.0,0.0,2.27,0.09
3167,PyaePhyoHein,0.0,0.0,2.27,0.09
3168,ahmadcrypto,0.0,0.0,2.27,0.09
3169,totsenpai,0.0,0.0,2.27,0.09
3170,VIV3K,0.0,0.0,2.27,0.09
3171,Abayomrunkoje,0.0,0.0,2.27,0.09
3172,asupamuji,0.0,0.0,2.27,0.09
3173,Adnan,0.0,0.0,2.27,0.09
3174,Saptarshi,0.0,0.0,2.27,0.09
3175,Elon,0.0,0.0,2.27,0.09
3176,sagorr10,0.0,0.0,2.27,0.09
3177,urtorun,0.0,0.0,2.27,0.09
3178,garapan22,0.0,0.0,2.27,0.09
3179,Sri,0.0,0.0,2.27,0.09
3180,aloy7301,0.0,0.0,2.27,0.09
3181,aman_goyal,0.0,0.0,2.27,0.09
3182,tajmon,0.0,0.0,2.27,0.09
3183,Sophia_,0.0,0.0,2.27,0.09
3184,Shinigami,0.0,0.0,2.27,0.09
3185,Smartyboyakash,0.0,0.0,2.27,0.09
3186,asikk,0.0,0.0,2.27,0.09
3187,widiaarief,0.0,0.0,2.27,0.09
3188,ABRGAMING,0.0,0.0,2.27,0.09
3189,Shuvo1122,0.0,0.0,2.27,0.09
3190,atoadver,0.0,0.0,2.27,0.09
3191,aidak,0.0,0.0,2.27,0.09
3192,tsaputra77,0.0,0.0,2.27,0.09
3193,Shaktimaan,0.0,0.0,2.27,0.09
3194,sajidrx381,0.0,0.0,2.27,0.09
3195,tttttt,0.0,0.0,2.27,0.09
3196,farukomar238475,0.0,0.0,2.27,0.09
3197,anirban22,0.0,0.0,2.27,0.09
3198,Aarav,0.0,0.0,2.27,0.09
3199,x_sn0bz_x,0.0,0.0,2.27,0.09
3200,PALING SILENT,0.0,0.0,2.27,0.09
3201,Onono,0.0,0.0,2.27,0.09
3202,pki,0.0,0.0,2.27,0.09
3203,kazee,0.0,0.0,2.27,0.09
3204,Rizky,0.0,0.0,2.27,0.09
3205,Elissa,0.0,0.0,2.27,0.09
3206,kederbalike,0.0,0.0,2.27,0.09
3207,kawulo,0.0,0.0,2.27,0.09
3208,thalib2112,0.0,0.0,2.27,0.09
3209,Shazni brilliant,0.0,0.0,2.27,0.09
3210,Aka,0.0,0.0,2.27,0.09
3211,bikekalay,0.0,0.0,2.27,0.09
3212,HochSage,0.0,0.0,2.27,0.09
3213,RibkaMartha,0.0,0.0,2.27,0.09
3214,luckyboy,0.0,0.0,2.27,0.09
3215,Tesdoet,0.0,0.0,2.27,0.09
3216,crybeybi,0.0,0.0,2.27,0.09
3217,Maspe,0.0,0.0,2.27,0.09
3218,jyselow,0.0,0.0,2.27,0.09
3219,Heri_Cosmic,0.0,0.0,2.27,0.09
3220,Rendileo,0.0,0.0,2.27,0.09
3221,pangerank99,0.0,0.0,2.27,0.09
3222,aqilanafsah,0.0,0.0,2.27,0.09
3223,вĻєѕѕтнєƒαĻĻ,0.0,0.0,2.27,0.09
3224,Azizrf87,0.0,0.0,2.27,0.09
3225,andri,0.0,0.0,2.27,0.09
3226,M i p o s h k a,0.0,0.0,2.27,0.09
3227,audreyfathia,0.0,0.0,2.27,0.09
3228,Leri,0.0,0.0,2.27,0.09
3229,spirithari,0.0,0.0,2.27,0.09
3230,Ahoyz16,0.0,0.0,2.27,0.09
3231,Ahoy,0.0,0.0,2.27,0.09
3232,kraahkrah,0.0,0.0,2.27,0.09
3233,Ahot,0.0,0.0,2.27,0.09
3234,bebek,0.0,0.0,2.27,0.09
3235,AnggaPrasetyo,0.0,0.0,2.27,0.09
3236,CryptoKnG,0.0,0.0,2.27,0.09
3237,auliok,0.0,0.0,2.27,0.09
3238,kuro,0.0,0.0,2.27,0.09
3239,bgdayat,0.0,0.0,2.27,0.09
3240,alaelya,0.0,0.0,2.27,0.09
3241,Hamdanal,0.0,0.0,2.27,0.09
3242,KINTOL,0.0,0.0,2.27,0.09
3243,laraati,0.0,0.0,2.27,0.09
3244,ainurdragneel,0.0,0.0,2.27,0.09
3245,putriwinny,0.0,0.0,2.27,0.09
3246,Soraya,0.0,0.0,2.27,0.09
3247,Scorpions,0.0,0.0,2.27,0.09
3248,yjoyl,0.0,0.0,2.27,0.09
3249,IA | Legion Network,0.0,0.0,2.27,0.09
3250,wnaxyl,0.0,0.0,2.27,0.09
3251,adamir,0.0,0.0,2.27,0.09
3252,JorssiRomantis,0.0,0.0,2.27,0.09
3253,ErgianaEr,0.0,0.0,2.27,0.09
3254,leaglorea,0.0,0.0,2.27,0.09
3255,Hatake,0.0,0.0,2.27,0.09
3256,kingbelsa,0.0,0.0,2.27,0.09
3257,winnuer,0.0,0.0,2.27,0.09
3258,babu,0.0,0.0,2.27,0.09
3259,HARLIBOYS,0.0,0.0,2.27,0.09
3260,Begoendal,0.0,0.0,2.27,0.09
3261,badnetwork,0.0,0.0,2.27,0.09
3262,londoayu,0.0,0.0,2.27,0.09
3263,Kangkung,0.0,0.0,2.27,0.09
3264,ZalarioVell,0.0,0.0,2.27,0.09
3265,Angelin,0.0,0.0,2.27,0.09
3266,Raxxy,0.0,0.0,2.27,0.09
3267,nadiaa,0.0,0.0,2.27,0.09
3268,zinko,0.0,0.0,2.27,0.09
3269,Tumbal Garapan,0.0,0.0,2.27,0.09
3270,rifal,0.0,0.0,2.27,0.09
3271,rifai,0.0,0.0,2.27,0.09
3272,ricky85,0.0,0.0,2.27,0.09
3273,DarkSign,0.0,0.0,2.27,0.09
3274,rflymhmmd,0.0,0.0,2.27,0.09
3275,iiel,0.0,0.0,2.27,0.09
3276,satriadhie12,0.0,0.0,2.27,0.09
3277,dwinov2,0.0,0.0,2.27,0.09
3278,imran6,0.0,0.0,2.27,0.09
3279,seamya,0.0,0.0,2.27,0.09
